marker1,marker2,marker3,marker4,marker5,marker6,marker7,Patch filename,label,EM
-1,-1,-1,-1,-1,0,-1,CasoHEProstata_A_0307_row_24576_column_20480,0,0
0,-1,-1,-1,-1,-1,-1,CasoHEProstata_A_0307_row_26624_column_104448,0,0
-1,-1,-1,0,0,-1,-1,CasoHEProstata_A_0307_row_26624_column_106496,0,0
0,-1,-1,-1,-1,-1,-1,CasoHEProstata_A_0307_row_26624_column_122880,0,0
-1,-1,-1,0,-1,0,-1,CasoHEProstata_A_0307_row_30720_column_108544,0,0
0,1,-1,-1,-1,0,-1,CasoHEProstata_A_0307_row_30720_column_36864,0,0
0,-1,-1,-1,-1,0,-1,CasoHEProstata_A_0307_row_32768_column_34816,0,0
-1,-1,-1,0,0,-1,-1,CasoHEProstata_A_0307_row_34816_column_124928,0,0
1,0,0,-1,0,0,2,CasoHEProstata_A_0307_row_36864_column_124928,0,0
-1,0,-1,-1,-1,0,-1,CasoHEProstata_A_0307_row_38912_column_100352,0,0
-1,0,0,0,0,-1,-1,CasoHEProstata_A_0307_row_38912_column_124928,0,0
0,-1,0,-1,-1,0,-1,CasoHEProstata_A_0307_row_40960_column_118784,0,0
0,-1,-1,-1,-1,-1,1,CasoHEProstata_A_0307_row_40960_column_38912,1,0
0,-1,-1,-1,-1,0,-1,CasoHEProstata_A_0307_row_43008_column_110592,0,0
0,-1,-1,-1,-1,-1,-1,CasoHEProstata_A_0307_row_43008_column_126976,0,0
0,-1,-1,-1,0,0,-1,CasoHEProstata_A_0307_row_45056_column_90112,0,0
0,-1,-1,-1,-1,0,-1,CasoHEProstata_A_0307_row_49152_column_92160,0,0
0,0,-1,0,0,0,-1,CasoHEProstata_A_0307_row_51200_column_6144,0,0
-1,-1,-1,0,0,-1,-1,CasoHEProstata_A_0307_row_51200_column_92160,0,0
-1,-1,-1,-1,-1,0,-1,CasoHEProstata_A_0307_row_53248_column_114688,0,0
0,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0307_row_53248_column_4096,0,0
0,-1,-1,-1,-1,-1,-1,CasoHEProstata_A_0307_row_55296_column_90112,0,0
-1,-1,0,0,0,-1,-1,CasoHEProstata_A_0307_row_59392_column_30720,0,0
0,-1,-1,-1,0,0,-1,CasoHEProstata_A_0307_row_63488_column_22528,0,0
0,-1,-1,-1,-1,0,-1,CasoHEProstata_A_0307_row_65536_column_34816,0,0
2,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0308_row_14336_column_30720,2,0
-1,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0308_row_14336_column_81920,0,0
-1,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0308_row_18432_column_81920,0,0
-1,-1,-1,-1,-1,-1,2,CasoHEProstata_A_0308_row_24576_column_47104,2,0
-1,1,-1,-1,-1,-1,-1,CasoHEProstata_A_0308_row_24576_column_49152,1,1
-1,2,-1,-1,-1,-1,2,CasoHEProstata_A_0308_row_26624_column_40960,2,2
-1,0,-1,-1,-1,-1,0,CasoHEProstata_A_0308_row_30720_column_45056,0,0
-1,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0308_row_34816_column_32768,0,0
-1,0,-1,-1,-1,-1,0,CasoHEProstata_A_0308_row_38912_column_45056,0,0
-1,-1,-1,-1,-1,-1,0,CasoHEProstata_A_0309_row_26624_column_118784,0,0
-1,0,1,0,-1,1,2,CasoHEProstata_A_0309_row_28672_column_112640,1,1
-1,-1,0,-1,-1,1,-1,CasoHEProstata_A_0309_row_28672_column_114688,1,1
2,-1,-1,-1,-1,1,-1,CasoHEProstata_A_0309_row_28672_column_116736,1,1
-1,-1,-1,-1,1,-1,2,CasoHEProstata_A_0309_row_28672_column_118784,2,1
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0309_row_30720_column_118784,0,0
-1,-1,-1,-1,-1,0,-1,CasoHEProstata_A_0309_row_30720_column_98304,0,0
-1,-1,-1,-1,-1,0,2,CasoHEProstata_A_0309_row_32768_column_100352,2,0
0,-1,0,-1,0,0,-1,CasoHEProstata_A_0309_row_32768_column_122880,0,0
-1,-1,-1,-1,-1,0,1,CasoHEProstata_A_0309_row_32768_column_126976,1,0
-1,-1,-1,-1,-1,0,-1,CasoHEProstata_A_0309_row_32768_column_83968,0,0
-1,-1,-1,-1,-1,-1,3,CasoHEProstata_A_0309_row_34816_column_106496,3,0
-1,-1,-1,-1,-1,-1,0,CasoHEProstata_A_0309_row_34816_column_32768,0,0
0,0,-1,0,-1,-1,0,CasoHEProstata_A_0309_row_36864_column_12288,0,0
-1,-1,-1,2,-1,-1,-1,CasoHEProstata_A_0309_row_36864_column_26624,2,2
-1,-1,-1,-1,-1,-1,2,CasoHEProstata_A_0309_row_36864_column_28672,2,0
1,-1,-1,-1,-1,-1,-1,CasoHEProstata_A_0309_row_36864_column_30720,1,1
-1,-1,-1,-1,-1,0,-1,CasoHEProstata_A_0309_row_38912_column_28672,0,0
-1,-1,-1,-1,-1,0,-1,CasoHEProstata_A_0309_row_40960_column_18432,0,0
-1,-1,-1,-1,-1,0,-1,CasoHEProstata_A_0309_row_43008_column_14336,0,0
1,-1,1,-1,-1,-1,-1,CasoHEProstata_A_0311_row_49152_column_53248,1,1
-1,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0311_row_63488_column_57344,0,0
1,0,0,-1,-1,0,-1,CasoHEProstata_A_0313_row_10240_column_49152,0,0
-1,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0313_row_32768_column_100352,0,0
1,1,-1,-1,1,-1,2,CasoHEProstata_A_0313_row_32768_column_104448,1,1
-1,-1,-1,0,-1,0,2,CasoHEProstata_A_0313_row_32768_column_106496,0,0
-1,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0313_row_32768_column_110592,0,0
0,1,-1,0,-1,-1,1,CasoHEProstata_A_0313_row_32768_column_122880,1,0
1,0,0,-1,-1,-1,1,CasoHEProstata_A_0313_row_32768_column_124928,1,0
-1,-1,-1,-1,1,-1,-1,CasoHEProstata_A_0313_row_32768_column_126976,1,1
-1,1,-1,0,-1,3,3,CasoHEProstata_A_0313_row_32768_column_129024,3,3
-1,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0313_row_32768_column_32768,0,0
-1,1,-1,0,-1,0,-1,CasoHEProstata_A_0313_row_32768_column_34816,0,0
-1,-1,0,-1,1,0,-1,CasoHEProstata_A_0313_row_32768_column_36864,0,0
-1,-1,1,-1,1,-1,-1,CasoHEProstata_A_0313_row_34816_column_135168,1,1
-1,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0313_row_34816_column_137216,0,0
1,0,0,0,-1,0,1,CasoHEProstata_A_0313_row_34816_column_139264,0,0
-1,-1,-1,-1,1,-1,-1,CasoHEProstata_A_0313_row_34816_column_16384,1,1
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0313_row_34816_column_18432,0,0
-1,-1,2,-1,1,-1,-1,CasoHEProstata_A_0313_row_34816_column_34816,2,2
1,0,-1,0,-1,-1,1,CasoHEProstata_A_0313_row_34816_column_36864,1,0
-1,-1,-1,0,1,1,-1,CasoHEProstata_A_0313_row_34816_column_38912,1,1
-1,-1,1,-1,-1,-1,-1,CasoHEProstata_A_0313_row_34816_column_40960,1,1
-1,-1,-1,-1,1,-1,-1,CasoHEProstata_A_0313_row_34816_column_43008,1,1
1,-1,0,0,-1,-1,-1,CasoHEProstata_A_0313_row_34816_column_45056,0,0
-1,0,1,-1,1,1,1,CasoHEProstata_A_0313_row_34816_column_47104,1,1
1,-1,0,-1,-1,0,-1,CasoHEProstata_A_0313_row_34816_column_49152,0,0
-1,-1,-1,-1,-1,0,1,CasoHEProstata_A_0313_row_36864_column_143360,1,0
-1,-1,-1,-1,-1,-1,1,CasoHEProstata_A_0313_row_36864_column_51200,1,0
0,-1,0,-1,-1,0,2,CasoHEProstata_A_0313_row_36864_column_55296,0,0
-1,1,0,0,-1,0,-1,CasoHEProstata_A_0313_row_8192_column_141312,0,0
-1,-1,0,0,1,-1,2,CasoHEProstata_A_0313_row_8192_column_143360,0,1
2,-1,-1,-1,-1,-1,-1,CasoHEProstata_A_0314_row_28672_column_67584,2,0
-1,-1,0,0,0,-1,-1,CasoHEProstata_A_0314_row_32768_column_126976,0,0
0,-1,-1,-1,-1,-1,-1,CasoHEProstata_A_0314_row_34816_column_61440,0,0
3,0,-1,0,-1,-1,-1,CasoHEProstata_A_0314_row_36864_column_55296,0,0
-1,-1,0,0,-1,-1,-1,CasoHEProstata_A_0314_row_38912_column_47104,0,0
-1,-1,0,-1,-1,0,-1,CasoHEProstata_A_0314_row_40960_column_118784,0,0
-1,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0314_row_47104_column_20480,0,0
0,-1,-1,-1,-1,-1,-1,CasoHEProstata_A_0314_row_65536_column_114688,0,0
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0315_row_10240_column_141312,0,0
-1,0,-1,0,-1,-1,-1,CasoHEProstata_A_0315_row_24576_column_28672,0,0
-1,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0315_row_24576_column_36864,0,0
-1,0,-1,0,-1,-1,-1,CasoHEProstata_A_0315_row_26624_column_47104,0,0
-1,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0315_row_28672_column_114688,0,0
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0315_row_30720_column_112640,0,0
-1,2,-1,0,-1,-1,-1,CasoHEProstata_A_0315_row_40960_column_137216,2,0
0,-1,-1,-1,0,0,-1,CasoHEProstata_A_0315_row_4096_column_30720,0,0
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0315_row_45056_column_124928,0,0
-1,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0315_row_47104_column_114688,0,0
-1,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0315_row_47104_column_55296,0,0
-1,0,-1,0,-1,-1,-1,CasoHEProstata_A_0315_row_47104_column_57344,0,0
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0315_row_47104_column_59392,0,0
-1,3,-1,-1,-1,-1,-1,CasoHEProstata_A_0315_row_49152_column_147456,3,3
-1,0,-1,0,-1,-1,-1,CasoHEProstata_A_0315_row_51200_column_20480,0,0
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0315_row_51200_column_47104,0,0
-1,1,-1,0,-1,-1,-1,CasoHEProstata_A_0315_row_53248_column_20480,1,1
-1,3,-1,0,-1,-1,-1,CasoHEProstata_A_0315_row_53248_column_22528,3,0
-1,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0315_row_53248_column_32768,0,0
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0315_row_53248_column_34816,0,0
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0315_row_53248_column_40960,0,0
-1,-1,0,0,0,-1,-1,CasoHEProstata_A_0315_row_55296_column_126976,0,0
-1,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0315_row_57344_column_110592,0,0
2,-1,0,-1,2,-1,3,CasoHEProstata_A_0315_row_6144_column_38912,2,2
0,-1,0,0,-1,-1,-1,CasoHEProstata_A_0315_row_8192_column_116736,0,0
-1,1,-1,0,-1,-1,-1,CasoHEProstata_A_0315_row_8192_column_141312,1,1
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0316_row_24576_column_141312,0,0
0,-1,-1,0,0,0,2,CasoHEProstata_A_0316_row_38912_column_57344,0,0
0,-1,-1,0,0,-1,-1,CasoHEProstata_A_0316_row_40960_column_153600,0,0
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0316_row_45056_column_118784,0,0
-1,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0316_row_47104_column_126976,0,0
-1,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0316_row_49152_column_108544,0,0
-1,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0316_row_51200_column_47104,0,0
-1,-1,0,-1,0,-1,-1,CasoHEProstata_A_0316_row_53248_column_106496,0,0
-1,-1,-1,0,-1,3,3,CasoHEProstata_A_0316_row_55296_column_104448,3,3
-1,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0316_row_55296_column_32768,0,0
-1,-1,0,0,-1,-1,-1,CasoHEProstata_A_0316_row_59392_column_116736,0,0
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0316_row_61440_column_94208,0,0
2,2,-1,0,2,2,-1,CasoHEProstata_A_0316_row_65536_column_24576,2,2
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0316_row_65536_column_38912,0,0
-1,-1,0,0,-1,-1,-1,CasoHEProstata_A_0316_row_67584_column_22528,0,0
-1,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0316_row_69632_column_100352,0,0
-1,-1,-1,0,0,-1,-1,CasoHEProstata_A_0317_row_12288_column_112640,0,0
0,0,0,0,0,0,-1,CasoHEProstata_A_0317_row_20480_column_10240,0,0
-1,-1,-1,0,0,-1,-1,CasoHEProstata_A_0317_row_22528_column_112640,0,0
-1,-1,-1,0,0,-1,-1,CasoHEProstata_A_0317_row_24576_column_112640,0,0
-1,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0317_row_26624_column_98304,0,0
-1,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0317_row_28672_column_98304,0,0
-1,-1,-1,0,0,-1,-1,CasoHEProstata_A_0317_row_34816_column_10240,0,0
0,0,-1,0,0,0,0,CasoHEProstata_A_0317_row_36864_column_104448,0,0
-1,-1,-1,0,0,-1,-1,CasoHEProstata_A_0317_row_36864_column_96256,0,0
-1,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0317_row_40960_column_8192,0,0
0,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0317_row_40960_column_96256,0,0
-1,-1,-1,0,0,-1,-1,CasoHEProstata_A_0317_row_43008_column_14336,0,0
-1,-1,-1,0,0,-1,-1,CasoHEProstata_A_0317_row_53248_column_98304,0,0
-1,-1,-1,0,0,-1,-1,CasoHEProstata_A_0317_row_8192_column_104448,0,0
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0317_row_8192_column_106496,0,0
3,-1,0,-1,2,-1,3,CasoHEProstata_A_0318_row_40960_column_26624,3,3
-1,-1,0,-1,3,-1,-1,CasoHEProstata_A_0318_row_40960_column_28672,3,3
3,-1,-1,0,0,-1,-1,CasoHEProstata_A_0318_row_43008_column_106496,0,0
0,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0318_row_51200_column_124928,0,0
0,-1,0,-1,-1,0,-1,CasoHEProstata_A_0318_row_51200_column_20480,0,0
0,-1,-1,-1,-1,-1,-1,CasoHEProstata_A_0318_row_51200_column_28672,0,0
-1,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0318_row_53248_column_24576,0,0
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0318_row_53248_column_32768,0,0
0,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0318_row_53248_column_45056,0,0
-1,-1,0,-1,0,-1,-1,CasoHEProstata_A_0320_row_16384_column_100352,0,0
-1,0,1,0,1,-1,-1,CasoHEProstata_A_0320_row_16384_column_139264,1,1
-1,-1,0,0,-1,-1,2,CasoHEProstata_A_0320_row_20480_column_118784,0,0
-1,-1,0,-1,0,-1,-1,CasoHEProstata_A_0320_row_4096_column_129024,0,0
-1,-1,0,-1,0,0,-1,CasoHEProstata_A_0323_row_10240_column_106496,0,0
-1,-1,-1,-1,-1,1,-1,CasoHEProstata_A_0323_row_10240_column_108544,1,1
1,1,-1,-1,-1,1,1,CasoHEProstata_A_0323_row_12288_column_100352,1,1
-1,-1,-1,-1,1,0,-1,CasoHEProstata_A_0323_row_12288_column_108544,1,1
1,-1,1,-1,1,1,-1,CasoHEProstata_A_0323_row_14336_column_100352,1,1
-1,-1,-1,-1,-1,0,-1,CasoHEProstata_A_0323_row_14336_column_106496,0,0
-1,-1,-1,-1,1,-1,-1,CasoHEProstata_A_0323_row_14336_column_108544,1,1
-1,1,1,1,-1,1,-1,CasoHEProstata_A_0323_row_16384_column_100352,1,1
-1,-1,-1,-1,1,1,-1,CasoHEProstata_A_0323_row_16384_column_106496,1,1
-1,-1,-1,-1,1,1,-1,CasoHEProstata_A_0323_row_20480_column_100352,1,1
-1,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0323_row_2048_column_100352,0,0
-1,-1,-1,1,1,1,-1,CasoHEProstata_A_0323_row_22528_column_100352,1,1
-1,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0323_row_22528_column_20480,0,0
-1,-1,-1,-1,-1,1,-1,CasoHEProstata_A_0323_row_24576_column_100352,1,1
-1,-1,-1,-1,1,-1,-1,CasoHEProstata_A_0323_row_28672_column_18432,1,1
-1,-1,-1,-1,0,0,-1,CasoHEProstata_A_0323_row_28672_column_8192,0,0
-1,-1,-1,-1,1,2,-1,CasoHEProstata_A_0323_row_30720_column_18432,2,2
1,-1,-1,0,1,-1,1,CasoHEProstata_A_0323_row_30720_column_98304,1,1
1,-1,1,1,-1,-1,-1,CasoHEProstata_A_0323_row_32768_column_18432,1,1
-1,-1,-1,-1,1,-1,-1,CasoHEProstata_A_0323_row_32768_column_98304,1,1
-1,-1,-1,0,0,-1,-1,CasoHEProstata_A_0323_row_34816_column_98304,0,0
-1,-1,1,-1,1,-1,-1,CasoHEProstata_A_0323_row_36864_column_18432,1,1
1,1,-1,1,-1,-1,1,CasoHEProstata_A_0323_row_38912_column_18432,1,1
1,1,1,-1,-1,-1,1,CasoHEProstata_A_0323_row_40960_column_18432,1,1
-1,-1,-1,-1,0,0,-1,CasoHEProstata_A_0323_row_40960_column_98304,0,0
-1,-1,-1,-1,1,1,-1,CasoHEProstata_A_0323_row_43008_column_18432,1,1
-1,1,1,-1,1,-1,1,CasoHEProstata_A_0323_row_45056_column_18432,1,1
-1,-1,-1,-1,-1,1,-1,CasoHEProstata_A_0323_row_47104_column_10240,1,1
-1,-1,-1,-1,1,-1,-1,CasoHEProstata_A_0323_row_47104_column_12288,1,1
1,1,-1,1,-1,1,1,CasoHEProstata_A_0323_row_47104_column_18432,1,1
1,1,1,0,-1,1,1,CasoHEProstata_A_0323_row_51200_column_18432,1,1
-1,-1,-1,-1,1,-1,-1,CasoHEProstata_A_0323_row_53248_column_18432,1,1
1,0,0,0,-1,-1,1,CasoHEProstata_A_0323_row_8192_column_106496,0,0
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0324_row_49152_column_81920,0,0
-1,-1,-1,-1,-1,0,-1,CasoHEProstata_A_0324_row_51200_column_79872,0,0
-1,-1,-1,0,-1,0,-1,CasoHEProstata_A_0324_row_6144_column_45056,0,0
1,0,0,-1,0,0,-1,CasoHEProstata_A_0327_row_10240_column_122880,0,0
0,-1,0,0,-1,0,0,CasoHEProstata_A_0327_row_38912_column_88064,0,0
-1,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0329_row_24576_column_139264,0,0
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0329_row_26624_column_137216,0,0
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0329_row_28672_column_147456,0,0
-1,0,-1,0,-1,-1,-1,CasoHEProstata_A_0329_row_28672_column_34816,0,0
-1,1,-1,0,-1,-1,-1,CasoHEProstata_A_0329_row_36864_column_153600,1,1
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0329_row_38912_column_145408,0,0
-1,1,-1,-1,-1,-1,-1,CasoHEProstata_A_0329_row_4096_column_106496,1,1
-1,2,-1,-1,-1,-1,-1,CasoHEProstata_A_0329_row_4096_column_96256,2,2
1,-1,-1,-1,-1,-1,-1,CasoHEProstata_A_0330_row_14336_column_38912,1,1
0,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0330_row_24576_column_22528,0,0
0,-1,-1,-1,-1,-1,-1,CasoHEProstata_A_0330_row_43008_column_86016,0,0
-1,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0330_row_45056_column_131072,0,0
0,-1,-1,-1,-1,-1,-1,CasoHEProstata_A_0330_row_47104_column_124928,0,0
0,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0330_row_47104_column_126976,0,0
2,-1,-1,-1,-1,-1,-1,CasoHEProstata_A_0330_row_49152_column_94208,2,0
-1,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0330_row_49152_column_96256,0,0
0,-1,-1,0,-1,0,3,CasoHEProstata_A_0331_row_28672_column_20480,0,0
-1,0,0,0,-1,-1,2,CasoHEProstata_A_0331_row_28672_column_75776,0,0
-1,-1,-1,-1,-1,-1,3,CasoHEProstata_A_0331_row_34816_column_98304,3,0
0,-1,-1,-1,-1,0,-1,CasoHEProstata_A_0331_row_36864_column_10240,0,0
-1,-1,-1,-1,-1,-1,2,CasoHEProstata_A_0331_row_36864_column_67584,2,0
-1,-1,-1,-1,-1,-1,2,CasoHEProstata_A_0331_row_36864_column_96256,2,0
-1,-1,-1,-1,-1,-1,3,CasoHEProstata_A_0331_row_47104_column_79872,3,0
-1,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0331_row_47104_column_83968,0,0
-1,-1,0,-1,-1,0,-1,CasoHEProstata_A_0331_row_49152_column_22528,0,0
-1,-1,0,-1,-1,-1,2,CasoHEProstata_A_0331_row_49152_column_79872,2,0
0,-1,-1,-1,-1,-1,0,CasoHEProstata_A_0331_row_51200_column_16384,0,0
0,0,0,0,-1,-1,-1,CasoHEProstata_A_0332_row_10240_column_100352,0,0
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0332_row_26624_column_114688,0,0
0,-1,-1,-1,-1,-1,1,CasoHEProstata_A_0332_row_32768_column_98304,1,0
-1,-1,-1,0,0,-1,-1,CasoHEProstata_A_0332_row_34816_column_98304,0,0
-1,-1,0,-1,0,-1,-1,CasoHEProstata_A_0332_row_36864_column_96256,0,0
-1,-1,-1,0,0,-1,-1,CasoHEProstata_A_0332_row_40960_column_120832,0,0
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0332_row_43008_column_120832,0,0
-1,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0333_row_14336_column_22528,0,0
-1,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0333_row_14336_column_28672,0,0
0,-1,-1,0,-1,0,-1,CasoHEProstata_A_0333_row_16384_column_43008,0,0
-1,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0333_row_16384_column_45056,0,0
-1,1,-1,-1,-1,0,-1,CasoHEProstata_A_0333_row_16384_column_47104,1,0
1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0333_row_16384_column_59392,1,1
0,-1,-1,-1,-1,-1,-1,CasoHEProstata_A_0333_row_18432_column_51200,0,0
-1,0,0,0,-1,-1,3,CasoHEProstata_A_0333_row_20480_column_118784,0,0
-1,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0333_row_24576_column_129024,0,0
-1,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0333_row_28672_column_14336,0,0
0,-1,0,0,-1,0,-1,CasoHEProstata_A_0333_row_28672_column_18432,0,0
-1,1,-1,-1,-1,-1,-1,CasoHEProstata_A_0333_row_32768_column_51200,1,1
0,0,-1,0,-1,-1,0,CasoHEProstata_A_0333_row_34816_column_30720,0,0
-1,0,0,0,-1,-1,0,CasoHEProstata_A_0333_row_34816_column_47104,0,0
3,-1,-1,-1,-1,-1,-1,CasoHEProstata_A_0333_row_38912_column_43008,3,3
2,-1,1,-1,0,-1,-1,CasoHEProstata_A_0333_row_4096_column_137216,2,2
0,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0333_row_6144_column_139264,0,0
-1,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0333_row_6144_column_141312,0,0
0,-1,-1,-1,-1,-1,-1,CasoHEProstata_A_0335_row_10240_column_112640,0,0
-1,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0335_row_10240_column_28672,0,0
0,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0335_row_10240_column_92160,0,0
1,-1,-1,0,-1,0,-1,CasoHEProstata_A_0335_row_14336_column_14336,0,0
0,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0335_row_16384_column_12288,0,0
0,0,0,-1,-1,-1,0,CasoHEProstata_A_0335_row_16384_column_137216,0,0
3,0,-1,0,-1,-1,-1,CasoHEProstata_A_0335_row_20480_column_131072,0,0
0,-1,-1,-1,-1,-1,-1,CasoHEProstata_A_0335_row_22528_column_118784,0,0
0,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0335_row_22528_column_124928,0,0
-1,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0335_row_22528_column_53248,0,0
0,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0335_row_26624_column_38912,0,0
-1,-1,-1,0,0,-1,-1,CasoHEProstata_A_0335_row_26624_column_43008,0,0
0,0,-1,0,-1,-1,-1,CasoHEProstata_A_0335_row_28672_column_114688,0,0
2,-1,-1,-1,-1,-1,-1,CasoHEProstata_A_0335_row_30720_column_108544,2,0
0,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0335_row_30720_column_112640,0,0
-1,0,-1,0,0,0,-1,CasoHEProstata_A_0335_row_30720_column_30720,0,0
0,-1,0,0,0,0,0,CasoHEProstata_A_0335_row_32768_column_28672,0,0
0,-1,-1,-1,-1,-1,-1,CasoHEProstata_A_0335_row_34816_column_22528,0,0
-1,-1,-1,0,-1,-1,-1,CasoHEProstata_A_0335_row_6144_column_112640,0,0
-1,2,-1,-1,-1,-1,-1,CasoHEProstata_A_0337_row_22528_column_122880,2,2
-1,0,-1,-1,0,-1,-1,CasoHEProstata_A_0337_row_24576_column_36864,0,0
-1,-1,-1,-1,0,-1,-1,CasoHEProstata_A_0337_row_26624_column_36864,0,0
-1,1,-1,-1,0,-1,-1,CasoHEProstata_A_0337_row_34816_column_124928,1,0
-1,0,0,-1,-1,0,2,CasoHEProstata_A_0337_row_38912_column_38912,0,0
-1,-1,-1,-1,1,-1,-1,CasoHEProstata_A_0337_row_40960_column_124928,1,1
-1,1,-1,-1,1,-1,-1,CasoHEProstata_A_0337_row_49152_column_126976,1,1
-1,-1,-1,-1,1,-1,-1,CasoHEProstata_A_0337_row_49152_column_129024,1,1
-1,1,-1,-1,1,-1,-1,CasoHEProstata_A_0337_row_61440_column_43008,1,1
-1,1,-1,-1,-1,-1,-1,CasoHEProstata_A_0337_row_63488_column_43008,1,1
-1,1,-1,-1,-1,-1,-1,CasoHEProstata_A_0337_row_65536_column_45056,1,1
-1,0,0,-1,-1,-1,-1,CasoHEProstata_A_0338_row_12288_column_104448,0,0
-1,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0338_row_28672_column_55296,0,0
-1,0,-1,-1,-1,-1,-1,CasoHEProstata_A_0338_row_30720_column_124928,0,0
-1,-1,0,-1,-1,-1,-1,CasoHEProstata_A_0338_row_30720_column_53248,0,0
-1,3,-1,-1,-1,-1,-1,CasoHEProstata_A_0338_row_30720_column_55296,3,3
-1,2,-1,-1,-1,-1,-1,CasoHEProstata_A_0338_row_32768_column_131072,2,2
2,-1,0,0,-1,-1,3,CasoHEProstata_A_0338_row_32768_column_135168,0,0
-1,3,-1,-1,-1,-1,-1,CasoHEProstata_A_0338_row_32768_column_61440,3,3
0,-1,-1,-1,-1,-1,-1,CasoHEProstata_A_0338_row_32768_column_69632,0,0
-1,3,0,-1,-1,-1,-1,CasoHEProstata_A_0338_row_34816_column_135168,3,3
3,3,0,-1,-1,-1,3,CasoHEProstata_A_0338_row_34816_column_137216,3,3
-1,3,-1,-1,-1,-1,-1,CasoHEProstata_A_0338_row_38912_column_143360,3,3
-1,-1,0,0,0,0,-1,CasoHEProstata_A_0338_row_40960_column_147456,0,0
